Buyer ID,Industry,Buyer Persona,Company Size,Department,Primary Goal,Commercial Uses,Image Needs,Repeat Purchase (1-10),Evergreen (1-10),Budget,Priority,Notes
B001,FMCG,Packaging Designer,Enterprise,Design,Present packaging professionally,"Mockup; Sales Deck; Internal Review; Launch Presentation","Packaging presentation environment; retail display shelf",10,10,Medium,High,"Strong fit with brand and packaging workflow."
B002,FMCG,Brand Manager,Enterprise,Marketing,Launch products faster,"Key Visual; Website Hero; Sales Kit; Trade Deck","Commercial marketing scene; product launch environment",9,9,High,High,"Needs reusable campaign assets."
B003,E-commerce,Amazon Seller,SME,Marketing,Improve listing conversion,"A+ Content; Storefront; Hero Banner; Product Listing","Clean product environment; marketplace-ready background",8,8,Medium,High,"Needs practical assets, not artistic backgrounds."
B004,E-commerce,Shopify Store Owner,SME,Founder,Build premium website,"Website Hero; Product Page; Social Ads; Email Banner","Premium product environment; reusable web background",8,8,Medium,High,"Often buys assets repeatedly across launches."
B005,Healthcare,Healthcare Marketing Manager,Enterprise,Marketing,Create trusted healthcare campaigns,"Website; Brochure; LinkedIn; Sales Deck; Trade Show","Healthcare marketing environment; clinic reception; pharmacy shelf",9,10,High,High,"Evergreen buyer with broad use cases."
B006,Healthcare,Pharmaceutical Brand Manager,Enterprise,Marketing,Launch OTC product,"Product Launch; Brochure; Sales Deck; Pharmacy Promotion","Pharmacy product display; OTC retail shelf; medical counter",9,10,High,High,"High commercial value and repeat usage."
B007,Pet,Pet Brand Owner,SME,Founder,Build premium pet brand,"Website; Packaging; Catalog; Social Ads; Retail Pitch","Pet retail display; pet feeding station; pet packaging scene",9,9,Medium,High,"Matches growing premium pet market."
B008,Pet,Veterinary Clinic,SME,Marketing,Build trust online,"Website; Brochure; Social Media; Appointment Ads","Vet clinic reception; pet wellness environment",7,9,Medium,Medium,"Useful but less product-launch driven."
B009,FMCG,Coffee Roaster,SME,Founder,Present coffee packaging,"Packaging Mockup; Website; Retail Pitch; Menu","Coffee pouch shelf; roastery retail display",8,9,Medium,High,"Strong niche for packaging-style assets."
B010,FMCG,Frozen Food Brand,Enterprise,Marketing,Launch retail SKUs,"Retail Pitch; POS; Website; Sales Deck","Frozen food freezer display; grocery freezer environment",8,9,High,High,"Low generic AI supply compared to podiums."
B011,Manufacturing,Industrial Marketing Manager,Enterprise,Marketing,Show B2B capability,"Website; Brochure; Sales Deck; Trade Show","Clean workbench; production line; factory environment",8,10,High,High,"B2B images are evergreen and under-served."
B012,Logistics,Logistics Sales Team,Enterprise,Sales,Explain service capability,"Sales Deck; Website; Proposal; LinkedIn","Warehouse environment; clean logistics workspace",8,10,High,High,"High repeat use across presentations."
